iter	RMSE
0	2.063194912
1	2.002441194
2	1.948398657
3	1.896372438
4	1.844425119
5	1.796316231
6	1.750467424
7	1.70706186
8	1.662947086
9	1.620010159
10	1.581859435
11	1.54451831
12	1.510026816
13	1.475756964
14	1.441068967
15	1.408913733
16	1.377317583
17	1.348725829
18	1.321957686
19	1.293954851
20	1.267674896
21	1.245206487
22	1.22068413
23	1.197398585
24	1.175226228
25	1.154817233
26	1.134504288
27	1.116679837
28	1.099035515
29	1.07965329
30	1.064916148
31	1.047936302
32	1.032702761
33	1.018776181
34	1.003688765
35	0.9897138617
36	0.9754459424
37	0.9632813519
38	0.9500026168
39	0.9375501146
40	0.9270833623
41	0.9152198778
42	0.9061821738
43	0.896403372
44	0.8867223938
45	0.8772974211
46	0.8684591334
47	0.8621916666
48	0.8549172232
49	0.8471765795
50	0.8400397927
51	0.83249343
52	0.8253790417
53	0.8181811644
54	0.8121833615
55	0.8062652708
56	0.8003145753
57	0.7948738244
58	0.7887494345
59	0.7837378234
60	0.778697601
61	0.7742429213
62	0.769201782
63	0.7652453589
64	0.7610174195
65	0.7562664341
66	0.7526682166
67	0.7488857457
68	0.7446699798
69	0.7399468664
70	0.7365741534
71	0.7333875097
72	0.7297912038
73	0.7263955748
74	0.72349635
75	0.7203322932
76	0.718122828
77	0.7146326332
78	0.7123337163
79	0.7090331757
80	0.7062624644
81	0.7038575641
82	0.7010644864
83	0.6984768829
84	0.6966665691
85	0.6943328335
86	0.6920517187
87	0.689903896
88	0.6879873735
89	0.6861208191
90	0.6844121369
91	0.6824302617
92	0.6798256217
93	0.6780305331
94	0.6761327852
95	0.6744295418
96	0.673355507
97	0.6713885087
98	0.6699005994
99	0.6688269235
100	0.6665565351
101	0.6648547882
102	0.6627532929
103	0.6612727143
104	0.6593931642
105	0.6575989684
106	0.6561682448
107	0.6543749612
108	0.6531169894
109	0.6519660943
110	0.6498022073
111	0.6486443668
112	0.6462908823
113	0.6451038396
114	0.6440197841
115	0.643016046
116	0.6418797873
117	0.6406737138
118	0.6394658891
119	0.6373356593
120	0.6363864227
121	0.6352471451
122	0.6337488961
123	0.6324542
124	0.6316232275
125	0.6304632119
126	0.6293430042
127	0.6279840377
128	0.6266971489
129	0.6251971415
130	0.6237262112
131	0.6231362136
132	0.6218938067
133	0.6200499448
134	0.6192125981
135	0.6180420085
136	0.6170247937
137	0.6151650716
138	0.6144308156
139	0.6138973835
140	0.6121677163
141	0.6115661542
142	0.6104631885
143	0.6088665938
144	0.6077125046
145	0.6069841751
146	0.6060360522
147	0.6053905104
148	0.6045695252
149	0.6037360408
150	0.6030404357
151	0.6016326526
152	0.6009036696
153	0.599658025
154	0.5983477561
155	0.5975991335
156	0.5967517674
157	0.5960161591
158	0.5950170703
159	0.5944158031
160	0.5930967035
161	0.5925932114
162	0.5917659314
163	0.5909254328
164	0.5902499138
165	0.5895721942
166	0.5887016258
167	0.5880440752
168	0.5876250195
169	0.5870226635
170	0.5864083927
171	0.5851827523
172	0.5845728376
173	0.5840753762
174	0.5832942165
175	0.5824437559
176	0.5821421271
177	0.5810400381
178	0.5807093336
179	0.5802006437
180	0.5792347402
181	0.5780613415
182	0.5777273178
183	0.5773927425
184	0.5765276811
185	0.5758558042
186	0.5750054018
187	0.5746057651
188	0.5744718242
189	0.573343109
190	0.5720400403
191	0.5711399558
192	0.5697301591
193	0.5687138402
194	0.5682565575
195	0.5680351644
196	0.5675843369
197	0.5666646554
198	0.5657565486
199	0.5653873431
200	0.565128313
201	0.5644264572
202	0.5636948755
203	0.5628354383
204	0.5624196565
205	0.5617339721
206	0.5614282734
207	0.5604677809
208	0.5596974408
209	0.5593159998
210	0.55888068
211	0.5585845662
212	0.5576832215
213	0.5570535779
214	0.5565943493
215	0.5556193699
216	0.5550552172
217	0.5540779628
218	0.553095123
219	0.5522605587
220	0.5511471372
221	0.5508383135
222	0.5495337658
223	0.5489504943
224	0.5480684697
225	0.5476671666
226	0.5473489366
227	0.5463286021
228	0.5458612096
229	0.545077263
230	0.5443782701
231	0.543937335
232	0.5429204727
233	0.5423022644
234	0.5418166123
235	0.5410894238
236	0.5400906953
237	0.5396080913
238	0.5390666049
239	0.5386903467
240	0.5382880462
241	0.5373861346
242	0.5366338617
243	0.5361420365
244	0.5356201313
245	0.5352133843
246	0.5350307315
247	0.5347958424
248	0.5346451588
249	0.5341089712
250	0.5333286541
251	0.5324031259
252	0.532194657
253	0.5319937895
254	0.5311835121
255	0.5303799967
256	0.5293269154
257	0.5287205478
258	0.5279578098
259	0.5271771145
260	0.525715721
261	0.5245993153
262	0.5243238517
263	0.5239585625
264	0.5233661389
265	0.5227254839
266	0.522248727
267	0.5218720577
268	0.5210126165
269	0.520266704
270	0.5197057516
271	0.5192783374
272	0.5182756791
273	0.5175243777
274	0.5166902165
275	0.5162080834
276	0.5152946932
277	0.5146166645
278	0.5143223954
279	0.5134255309
280	0.5129799374
281	0.5126900959
282	0.5117142481
283	0.5114807496
284	0.5112929625
285	0.5103700957
286	0.510171794
287	0.5095114703
288	0.5092463418
289	0.5081497056
290	0.506929352
291	0.5065656981
292	0.5056061978
293	0.5046339576
294	0.5039088402
295	0.5032204701
296	0.5029398581
297	0.5018689629
298	0.5015368195
299	0.5008548268
300	0.4999894619
301	0.4993871511
302	0.4991170587
303	0.4982108345
304	0.4977846624
305	0.497449353
306	0.4971474391
307	0.4965297817
308	0.4956087259
309	0.495136131
310	0.4948127161
311	0.4942270063
312	0.4938845283
313	0.4934721015
314	0.492974343
315	0.4928270698
316	0.4925908769
317	0.4923250157
318	0.4920729875
319	0.4918167436
320	0.4912686151
321	0.4906752235
322	0.4899388142
323	0.4891739891
324	0.4882863178
325	0.4877248793
326	0.4868284294
327	0.4862109046
328	0.4859991482
329	0.4857242803
330	0.4848530374
331	0.4846501005
332	0.484140224
333	0.4834852849
334	0.4831222904
335	0.4819068888
336	0.481804442
337	0.4814383429
338	0.4811518144
339	0.4801660337
340	0.4799277975
341	0.4792929986
342	0.4789914746
343	0.4781537152
344	0.47777156
345	0.4773633855
346	0.4766409083
347	0.4763005345
348	0.4760989668
349	0.4753815954
350	0.4749421981
351	0.4740700716
352	0.4738719684
353	0.4735491222
354	0.4733003547
355	0.472973275
356	0.472552271
357	0.4723845806
358	0.4721811922
359	0.4717979744
360	0.4712756362
361	0.4711244884
362	0.4707210379
363	0.4705366502
364	0.4699144957
365	0.4688723391
366	0.4684954802
367	0.4681676051
368	0.4679135938
369	0.4676121786
370	0.467428925
371	0.4671967606
372	0.4667628481
373	0.4662678941
374	0.465938458
375	0.4657739695
376	0.4653373489
377	0.4645693769
378	0.4643781458
379	0.4641082693
380	0.4639301333
381	0.463700343
382	0.4635989443
383	0.4629186655
384	0.4623718145
385	0.4617166198
386	0.4612133949
387	0.4605821983
388	0.4604433633
389	0.4602250106
390	0.4598444323
391	0.4596876874
392	0.4590185212
393	0.4583913804
394	0.4582577294
395	0.4575903142
396	0.4574374654
397	0.4572485841
398	0.456220424
399	0.4560130486
400	0.4557657365
401	0.4550708026
402	0.4545803369
403	0.4545160538
404	0.4544398804
405	0.4540254469
406	0.4537033943
407	0.4535486064
408	0.4530462218
409	0.4529328568
410	0.4522489333
411	0.4519892321
412	0.4515585864
413	0.4513728815
414	0.4509020455
415	0.4504208352
416	0.4503588536
417	0.4498146345
418	0.4494344877
419	0.4487126926
420	0.448442359
421	0.4480174726
422	0.4477589425
423	0.4475081523
424	0.4470861525
425	0.4467987148
426	0.4462820186
427	0.4461875129
428	0.4460984837
429	0.4458975451
430	0.4455415468
431	0.4451093234
432	0.4448618633
433	0.444173164
434	0.4438844334
435	0.4434714715
436	0.4431063542
437	0.4427713983
438	0.4420312272
439	0.4415079901
440	0.4412974871
441	0.441250593
442	0.4408368092
443	0.4404322411
444	0.4400886641
445	0.4395902992
446	0.4394508948
447	0.4393803136
448	0.4391750488
449	0.438866804
450	0.4384326381
451	0.4377423853
452	0.4372497073
453	0.4371366058
454	0.436701755
455	0.4364221913
456	0.4361005571
457	0.4356521319
458	0.4354256287
459	0.435041669
460	0.4345125742
461	0.4343475356
462	0.4340718474
463	0.4336630019
464	0.4332708938
465	0.4328576197
466	0.4323184525
467	0.4322556278
468	0.4321927807
469	0.4320983746
470	0.4319304566
471	0.4316258729
472	0.4314497712
473	0.4311843683
474	0.4309391658
475	0.430680932
476	0.4304094196
477	0.4297261204
478	0.4292850467
479	0.4292365465
480	0.4289790866
481	0.428652688
482	0.4283472285
483	0.4279801715
484	0.4277472742
485	0.4277100343
486	0.4272097999
487	0.4268944427
488	0.4265110116
489	0.4262299008
490	0.4261827642
491	0.4260543226
492	0.4256609324
493	0.4252667304
494	0.4252211425
495	0.4249762172
496	0.4249540569
497	0.4247634789
498	0.4245016936
499	0.4243400862
500	0.4243201229
501	0.4241032493
502	0.4236224146
503	0.4231240458
504	0.4229861274
505	0.4226415843
506	0.4224830797
507	0.422159084
508	0.4218680575
509	0.4216247411
510	0.4211734126
511	0.4209439203
512	0.4205625478
513	0.41961939
514	0.4192878511
515	0.4189693126
516	0.4187647091
517	0.4181719242
518	0.4178651717
519	0.4176094713
520	0.4172746397
521	0.4170747358
522	0.416522379
523	0.4163544542
524	0.4159999463
525	0.4158768422
526	0.4155696692
527	0.4152424109
528	0.4149708974
529	0.4149477887
530	0.4144090938
531	0.4140395911
532	0.41402498
533	0.4138817323
534	0.4136160871
535	0.4131556503
536	0.4128990123
537	0.412360958
538	0.4120816881
539	0.4120675634
540	0.4120361016
541	0.4116790117
542	0.4115073016
543	0.4113152729
544	0.4108149098
545	0.4101443347
546	0.4096944266
547	0.4093917343
548	0.4090729037
549	0.4088936303
550	0.4086429466
551	0.4086099623
552	0.408359647
553	0.4079922566
554	0.4076913431
555	0.4074830083
556	0.4072910868
557	0.4069300321
558	0.4068990503
559	0.4065908846
560	0.4063986213
561	0.4056255776
562	0.4050931921
563	0.4044995651
564	0.4043370196
565	0.4039792613
566	0.4038306834
567	0.4035967808
568	0.4032032007
569	0.4030871802
570	0.4027384013
571	0.4023008678
572	0.4019196062
573	0.4014078594
574	0.4010794639
575	0.400787755
576	0.4006047575
577	0.4003234493
578	0.4001574536
579	0.3999675734
580	0.3993850862
581	0.3989881292
582	0.3987554565
583	0.3984069743
584	0.3980724563
585	0.3978506857
586	0.3976100946
587	0.3972180458
588	0.3969181553
589	0.3966764802
590	0.3964876348
591	0.3960247757
592	0.3957994509
593	0.3956074332
594	0.3953749443
595	0.3949681929
596	0.394375704
597	0.3942747878
598	0.3940971611
599	0.3940518271
600	0.393575223
601	0.393269459
602	0.3927754761
603	0.3926013621
604	0.3925242524
605	0.392189017
606	0.3920084164
607	0.3916899785
608	0.3913833366
609	0.3912426459
610	0.3907561552
611	0.3904279199
612	0.3901291886
613	0.3898801937
614	0.389534051
615	0.3892579997
616	0.3887256126
617	0.3883452675
618	0.3875504412
619	0.3873921456
620	0.387040372
621	0.3868853883
622	0.3862370081
623	0.3859232619
624	0.385468925
625	0.3850215529
626	0.3847799668
627	0.3845896879
628	0.3835897061
629	0.3834230757
630	0.3832449406
631	0.3828788356
632	0.3824582193
633	0.3822225874
634	0.3817207393
635	0.3814262492
636	0.3808052844
637	0.3804972922
638	0.380390695
639	0.3802223924
640	0.3797164837
641	0.3794538521
642	0.3790551784
643	0.3784135034
644	0.3782353271
645	0.3780686074
646	0.3775607907
647	0.3770318189
648	0.3766263664
649	0.3764283808
650	0.3762964222
651	0.3757919562
652	0.3757184396
653	0.3755386122
654	0.3751765415
655	0.3749804979
656	0.3746233071
657	0.3744162326
658	0.3742786154
659	0.373991377
660	0.37368572
661	0.3732851125
662	0.3730151013
663	0.3726824797
664	0.3725035228
665	0.3723619083
666	0.3722096371
667	0.3719268597
668	0.3715567838
669	0.3713384882
670	0.3711549612
671	0.3708937484
672	0.3706656972
673	0.3702669839
674	0.3698078193
675	0.369614906
676	0.3693928565
677	0.3689910831
678	0.3685986777
679	0.3684117396
680	0.3681927906
681	0.3675476067
682	0.367396628
683	0.3672737959
684	0.3667853626
685	0.3665960243
686	0.3663350272
687	0.3657941433
688	0.3655273024
689	0.3653202242
690	0.3646939792
691	0.3644784071
692	0.3639946386
693	0.3638098233
694	0.36353875
695	0.3632236442
696	0.3631911933
